MC	Kor	Go	Kan	VT
a	a	a	a
ae	a	e	a
aej	ay	e	aj
aek	aek;ak;yek	yaku	aku
aem	am	em	am
aen	an	en(hon?)	an
aeng	aeng,(k/h)yeng	yau~	au~
aep	ap,yep	yafu	afu
aet	al	eti?	atu
aew	ywo,(ph/d/m)o	yaw	aw
aewk	ak	aku/Hoku	aku
aewng	ang;chwong	ou~	au~
aj	ay,lwoy	aj	aj
ak	ak	aku	aku
am	am	am	am
an	an	an	an
ang	ang	au~*	au~
ap	ap	apu	apu
at	al	ati	atu
aw	wo	aw	aw
ea	ay,ka,si	e	ai
ej	ey/KHyey/Ni,lye	ai,Ke	ei
ek	yek;ayk	yaku	eki
em	yem	em	em
en	yen	en	en
eng	yeng	eu~	ei~
ep	yep	efu	efu
et	yet	eti	etu
ew	ywo	ew	ew
eaj	ay	ai/KHe	ai
eak	yek/(m)aek	yaku	aku
eam	am	em	am
ean	an	en	an
eang	aeng,Kyeng	eu~	au~*
eap	yep;ap	epu	apu
eat	al	eti,Hati	atu
i	i/(ng/x)ui,z(r)a,Yi	i/K(o/i)	i
ij	i,(ch/s)a,(chy/sy)i	i	i
ik	0ek/SChik/SRayk/TSRayk	oku/SySrHiki	yoku
im	um/LRYim/	im/K0om	im
in	in/(NG/K)un	in/(NG/K)on	in
ing	ung/(P/SR/TR)ing	ou~/PSyou~	you~

